user,text,place,created_at
Ottawa Rockstar/Pornstar,"Girl I just banged
#misterdiversity #6andahalfinchcock #pornstar #rockstar #ottawaporn #cum #6andahalfinches? https://t.co/MinwRk5zoC","Ottawa, Ontario",Wed Mar 27 11:22:08 +0000 2019
Hobbyistgirl crashing Adepticon,@ministomp Giant turkey leg,"New York, USA",Wed Mar 27 11:22:26 +0000 2019
velomarc,@EveCatherine_ c'est pour ?a qu'il on ?t? ?lue faire du m?nage dans les d?penses ??,Canada,Wed Mar 27 11:22:36 +0000 2019
Hobbyistgirl crashing Adepticon,@AnthonyMagro @ministomp Wtf is a Tim tam,"New York, USA",Wed Mar 27 11:23:06 +0000 2019
Don Tetrault,@marklevinshow Scum bag,"New York, USA",Wed Mar 27 11:23:21 +0000 2019
Chad Orzel,"Of course, she hadn't bothered to tell anyone ELSE about this change in policy, so my department colleagues thought? https://t.co/z99HgYDhCg","New York, USA",Wed Mar 27 11:23:22 +0000 2019
SA Morris,"?My advice to youth: find what you love and who you are early as you can!? Proud of you, Liz ???? #CBCTrailblazers","Ottawa, Ontario",Wed Mar 27 11:23:27 +0000 2019
- Aussiemandias -,There you have it. We're subhuman. Face off -- Cyclists not human enough for drivers: study https://t.co/9W1MvqYkeB? https://t.co/obnepR4aYX,"Ottawa, Ontario",Wed Mar 27 11:23:28 +0000 2019
J Young,Hey all.  I keep forgetting to do things like this but I just  wrote a piece @story_screen about Think Pieces in ge? https://t.co/rNQxWmyGzs,"New York, USA",Wed Mar 27 11:23:35 +0000 2019
Don Tetrault,@seanhannity @AlecBaldwin LOSER,"New York, USA",Wed Mar 27 11:23:40 +0000 2019
Jason Dupuis ??,Bon succ?s ? tous nos ?l?ves du @ecolecatholique et ailleurs en province qui ?crivent aujourd'hui le #tpcl.  @Oqre? https://t.co/6VtYdfSwL7,"Ottawa, Ontario",Wed Mar 27 11:23:48 +0000 2019
